ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I157,initiation,"{""RC3H7O2"": -1, ""PLIGM2"": -1, ""C3H8O2"": 1, ""PRLIGM2A"": 1}","{""RC3H7O2"": 1, ""PLIGM2"": 1, ""C3H8O2"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,62790-4186,FALSE
I158,initiation,"{""RADIOM2"": -1, ""PLIGM2"": -1, ""ADIOM2"": 1, ""PRLIGM2A"": 1}","{""RADIOM2"": 1, ""PLIGM2"": 1, ""ADIOM2"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,54418-4186,FALSE
I159,initiation,"{""PRFET3M2"": -1, ""PLIGM2"": -1, ""PFET3M2"": 1, ""PRLIGM2A"": 1}","{""PRFET3M2"": 1, ""PLIGM2"": 1, ""PFET3M2"": 1, ""PRLIGM2A"": 1}",solid,2*10**8,54418-4186,FALSE
I160,initiation,"{""PRLIGH"": -1, ""PLIGM2"": -1, ""PLIGH"": 1, ""PRLIGM2A"": 1}","{""PRLIGH"": 1, ""PLIGM2"": 1, ""PLIGH"": 1, ""PRLIGM2A"": 1}",solid,2*10**8.5,41860-4186,FALSE
I161,initiation,"{""RLIGM2B"": -1, ""PLIGM2"": -1, ""LIGM2"": 1, ""PRLIGM2A"": 1}","{""RLIGM2B"": 1, ""PLIGM2"": 1, ""LIGM2"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,54418-4186,FALSE
I162,initiation,"{""RLIGM2A"": -1, ""PLIGM2"": -1, ""LIGM2"": 1, ""PRLIGM2A"": 1}","{""RLIGM2A"": 1, ""PLIGM2"": 1, ""LIGM2"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,54418-4186,FALSE
I163,initiation,"{""RCH3"": -1, ""PLIGM2"": -1, ""CH4"": 1, ""PRLIGM2A"": 1}","{""RCH3"": 1, ""PLIGM2"": 1, ""CH4"": 1, ""PRLIGM2A"": 1}",gas,2*10**8.5,48139-4186,FALSE
I164,initiation,"{""PRKETM2"": -1, ""PLIGM2"": -1, ""PKETM2"": 1, ""PRLIGM2A"": 1}","{""PRKETM2"": 1, ""PLIGM2"": 1, ""PKETM2"": 1, ""PRLIGM2A"": 1}",solid,2*10**8,54418-4186,FALSE
I165,initiation,"{""RKET"": -1, ""PLIGM2"": -1, ""KET"": 1, ""PRLIGM2A"": 1}","{""RKET"": 1, ""PLIGM2"": 1, ""KET"": 1, ""PRLIGM2A"": 1}",gas,2*10**8.5,54418-4186,FALSE
I166,initiation,"{""PRADIO"": -1, ""PLIGM2"": -1, ""PADIO"": 1, ""PRLIGM2A"": 1}","{""PRADIO"": 1, ""PLIGM2"": 1, ""PADIO"": 1, ""PRLIGM2A"": 1}",solid,2*10**8,46046-4186,FALSE
I167,initiation,"{""RC3H3O"": -1, ""PLIGM2"": -1, ""C3H4O"": 1, ""PRLIGM2A"": 1}","{""RC3H3O"": 1, ""PLIGM2"": 1, ""C3H4O"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,83720-4186,FALSE
I168,initiation,"{""RLIGB"": -1, ""PLIGM2"": -1, ""LIG"": 1, ""PRLIGM2A"": 1}","{""RLIGB"": 1, ""PLIGM2"": 1, ""LIG"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,56511-4186,FALSE
I169,initiation,"{""RLIGA"": -1, ""PLIGM2"": -1, ""LIG"": 1, ""PRLIGM2A"": 1}","{""RLIGA"": 1, ""PLIGM2"": 1, ""LIG"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,56511-4186,FALSE
I170,initiation,"{""PRADIOM2"": -1, ""PLIGM2"": -1, ""PADIOM2"": 1, ""PRLIGM2A"": 1}","{""PRADIOM2"": 1, ""PLIGM2"": 1, ""PADIOM2"": 1, ""PRLIGM2A"": 1}",solid,2*10**8.5,41860-4186,FALSE
I171,initiation,"{""RMGUAI"": -1, ""PLIGM2"": -1, ""MGUAI"": 1, ""PRLIGM2A"": 1}","{""RMGUAI"": 1, ""PLIGM2"": 1, ""MGUAI"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,54418-4186,FALSE
I172,initiation,"{""OH"": -1, ""PLIGM2"": -1, ""H2O"": 1, ""PRLIGM2A"": 1}","{""OH"": 1, ""PLIGM2"": 1, ""H2O"": 1, ""PRLIGM2A"": 1}",solid,2*10**9.5,14651-4186,FALSE
I173,initiation,"{""RCH3O"": -1, ""PLIGM2"": -1, ""CH3OH"": 1, ""PRLIGM2A"": 1}","{""RCH3O"": 1, ""PLIGM2"": 1, ""CH3OH"": 1, ""PRLIGM2A"": 1}",gas,2*10**8.5,33069-4186,FALSE
I174,initiation,"{""RPHENOL"": -1, ""PLIGM2"": -1, ""PHENOL"": 1, ""PRLIGM2A"": 1}","{""RPHENOL"": 1, ""PLIGM2"": 1, ""PHENOL"": 1, ""PRLIGM2A"": 1}",gas,2*10**8.5,54418-4186,FALSE
I175,initiation,"{""RADIO"": -1, ""PLIGM2"": -1, ""ADIO"": 1, ""PRLIGM2A"": 1}","{""RADIO"": 1, ""PLIGM2"": 1, ""ADIO"": 1, ""PRLIGM2A"": 1}",gas,2*10**8,54418-4186,FALSE
I176,initiation,"{""RC3H5O2"": -1, ""LIGM2"": -1, ""C3H6O2"": 1, ""RLIGM2A"": 1}","{""RC3H5O2"": 1, ""LIGM2"": 1, ""C3H6O2"": 1, ""RLIGM2A"": 1}",gas,1*10**8,71162-4186,FALSE
I177,initiation,"{""PRFET3"": -1, ""LIGM2"": -1, ""PFET3"": 1, ""RLIGM2A"": 1}","{""PRFET3"": 1, ""LIGM2"": 1, ""PFET3"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
I178,initiation,"{""RC3H7O2"": -1, ""LIGM2"": -1, ""C3H8O2"": 1, ""RLIGM2A"": 1}","{""RC3H7O2"": 1, ""LIGM2"": 1, ""C3H8O2"": 1, ""RLIGM2A"": 1}",gas,1*10**8,62790-4186,FALSE
I179,initiation,"{""RADIOM2"": -1, ""LIGM2"": -1, ""ADIOM2"": 1, ""RLIGM2A"": 1}","{""RADIOM2"": 1, ""LIGM2"": 1, ""ADIOM2"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
