ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I238,initiation,"{""RADIO"": -1, ""PFET3M2"": -1, ""ADIO"": 1, ""PRFET3M2"": 1}","{""RADIO"": 1, ""PFET3M2"": 1, ""ADIO"": 0, ""PRFET3M2"": 0}",gas,2*10**8,50232,False
I239,initiation,"{""RC3H5O2"": -1, ""ADIOM2"": -1, ""C3H6O2"": 1, ""RADIOM2"": 1}","{""RC3H5O2"": 1, ""ADIOM2"": 1, ""C3H6O2"": 0, ""RADIOM2"": 0}",gas,1*10**8,66976,False
I240,initiation,"{""PRFET3"": -1, ""ADIOM2"": -1, ""PFET3"": 1, ""RADIOM2"": 1}","{""PRFET3"": 1, ""ADIOM2"": 1, ""PFET3"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
I241,initiation,"{""RC3H7O2"": -1, ""ADIOM2"": -1, ""C3H8O2"": 1, ""RADIOM2"": 1}","{""RC3H7O2"": 1, ""ADIOM2"": 1, ""C3H8O2"": 0, ""RADIOM2"": 0}",gas,1*10**8,58604,False
I242,initiation,"{""RADIOM2"": 1, ""ADIOM2"": 1}","{""RADIOM2"": 1, ""ADIOM2"": 1}",gas,1*10**8,50232,False
I243,initiation,"{""PRFET3M2"": -1, ""ADIOM2"": -1, ""PFET3M2"": 1, ""RADIOM2"": 1}","{""PRFET3M2"": 1, ""ADIOM2"": 1, ""PFET3M2"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
I244,initiation,"{""PRLIGH"": -1, ""ADIOM2"": -1, ""PLIGH"": 1, ""RADIOM2"": 1}","{""PRLIGH"": 1, ""ADIOM2"": 1, ""PLIGH"": 0, ""RADIOM2"": 0}",gas,1*10**8.5,37674,False
I245,initiation,"{""RLIGM2B"": -1, ""ADIOM2"": -1, ""LIGM2"": 1, ""RADIOM2"": 1}","{""RLIGM2B"": 1, ""ADIOM2"": 1, ""LIGM2"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
I246,initiation,"{""RLIGM2A"": -1, ""ADIOM2"": -1, ""LIGM2"": 1, ""RADIOM2"": 1}","{""RLIGM2A"": 1, ""ADIOM2"": 1, ""LIGM2"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
I247,initiation,"{""RCH3"": -1, ""ADIOM2"": -1, ""CH4"": 1, ""RADIOM2"": 1}","{""RCH3"": 1, ""ADIOM2"": 1, ""CH4"": 0, ""RADIOM2"": 0}",gas,1*10**8.5,43953,False
I248,initiation,"{""PRKETM2"": -1, ""ADIOM2"": -1, ""PKETM2"": 1, ""RADIOM2"": 1}","{""PRKETM2"": 1, ""ADIOM2"": 1, ""PKETM2"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
I249,initiation,"{""RKET"": -1, ""ADIOM2"": -1, ""KET"": 1, ""RADIOM2"": 1}","{""RKET"": 1, ""ADIOM2"": 1, ""KET"": 0, ""RADIOM2"": 0}",gas,1*10**8.5,50232,False
I250,initiation,"{""PRADIO"": -1, ""ADIOM2"": -1, ""PADIO"": 1, ""RADIOM2"": 1}","{""PRADIO"": 1, ""ADIOM2"": 1, ""PADIO"": 0, ""RADIOM2"": 0}",gas,1*10**8,41860,False
I251,initiation,"{""RC3H3O"": -1, ""ADIOM2"": -1, ""C3H4O"": 1, ""RADIOM2"": 1}","{""RC3H3O"": 1, ""ADIOM2"": 1, ""C3H4O"": 0, ""RADIOM2"": 0}",gas,1*10**8,79534,False
I252,initiation,"{""RLIGB"": -1, ""ADIOM2"": -1, ""LIG"": 1, ""RADIOM2"": 1}","{""RLIGB"": 1, ""ADIOM2"": 1, ""LIG"": 0, ""RADIOM2"": 0}",gas,1*10**8,52325,False
I253,initiation,"{""RLIGA"": -1, ""ADIOM2"": -1, ""LIG"": 1, ""RADIOM2"": 1}","{""RLIGA"": 1, ""ADIOM2"": 1, ""LIG"": 0, ""RADIOM2"": 0}",gas,1*10**8,52325,False
